incident_id,timestamp,incidents_type,severity,category,status,description
INC-1000,2025-08-06 16:34:18,Phishing,Medium,Misconfiguration,Closed,Synthetic incident description #0
INC-1001,2024-12-28 21:45:39,Insider Threat,Critical,DDoS,In Progress,Synthetic incident description #1
INC-1002,2025-07-06 07:44:13,Insider Threat,Medium,Insider Threat,In Progress,Synthetic incident description #2
INC-1003,2025-01-27 22:14:13,Phishing,High,Insider Threat,Open,Synthetic incident description #3
INC-1004,2024-12-28 06:08:16,Insider Threat,Medium,Malware,Open,Synthetic incident description #4
INC-1005,2025-11-29 10:01:55,Insider Threat,Medium,Malware,Open,Synthetic incident description #5
INC-1006,2025-02-02 11:15:10,Insider Threat,Low,Misconfiguration,Resolved,Synthetic incident description #6
INC-1007,2025-02-26 04:18:48,Malware,High,DDoS,Closed,Synthetic incident description #7
INC-1008,2025-02-01 04:58:28,Misconfiguration,Medium,DDoS,Closed,Synthetic incident description #8
INC-1009,2025-02-05 11:50:32,Phishing,Medium,Insider Threat,Open,Synthetic incident description #9
INC-1010,2025-05-10 19:51:49,Insider Threat,High,Malware,Open,Synthetic incident description #10
INC-1011,2025-01-09 01:07:12,Malware,High,Insider Threat,Closed,Synthetic incident description #11
INC-1012,2025-10-29 11:21:40,Insider Threat,Critical,DDoS,Resolved,Synthetic incident description #12
INC-1013,2025-06-07 00:23:21,Misconfiguration,Critical,Malware,In Progress,Synthetic incident description #13
INC-1014,2025-10-16 02:12:19,Insider Threat,Medium,Insider Threat,In Progress,Synthetic incident description #14
INC-1015,2025-05-02 18:58:09,Malware,Medium,Misconfiguration,Closed,Synthetic incident description #15
INC-1016,2025-06-27 21:09:55,Misconfiguration,Medium,Insider Threat,Closed,Synthetic incident description #16
INC-1017,2025-04-09 07:47:34,DDoS,Low,Phishing,Resolved,Synthetic incident description #17
INC-1018,2025-11-30 04:14:31,Insider Threat,Medium,Misconfiguration,Resolved,Synthetic incident description #18
INC-1019,2024-12-26 11:43:34,Phishing,Medium,Malware,Resolved,Synthetic incident description #19
INC-1020,2024-12-26 06:29:39,Insider Threat,Medium,DDoS,Open,Synthetic incident description #20
INC-1021,2025-07-03 00:24:13,DDoS,Critical,Phishing,Closed,Synthetic incident description #21
INC-1022,2025-03-09 07:18:06,DDoS,Critical,Malware,Open,Synthetic incident description #22
INC-1023,2025-06-21 17:04:21,Insider Threat,Medium,Misconfiguration,Closed,Synthetic incident description #23
INC-1024,2025-07-01 02:19:15,DDoS,Low,Insider Threat,Resolved,Synthetic incident description #24
INC-1025,2025-09-10 01:08:05,DDoS,High,Insider Threat,Closed,Synthetic incident description #25
INC-1026,2024-12-15 18:22:50,DDoS,Low,DDoS,Resolved,Synthetic incident description #26
INC-1027,2025-01-09 15:19:15,Phishing,Low,Misconfiguration,In Progress,Synthetic incident description #27
INC-1028,2025-11-11 20:47:13,Phishing,Critical,DDoS,Open,Synthetic incident description #28
INC-1029,2025-08-26 11:36:21,Misconfiguration,High,DDoS,Open,Synthetic incident description #29
INC-1030,2025-07-21 09:56:00,Misconfiguration,Critical,Insider Threat,In Progress,Synthetic incident description #30
INC-1031,2025-01-28 14:29:24,DDoS,Low,Phishing,Closed,Synthetic incident description #31
INC-1032,2025-01-13 08:46:39,Insider Threat,Medium,Misconfiguration,Open,Synthetic incident description #32
INC-1033,2025-08-14 23:45:47,Phishing,Medium,Malware,In Progress,Synthetic incident description #33
INC-1034,2025-01-16 09:36:50,Misconfiguration,Low,DDoS,Open,Synthetic incident description #34
INC-1035,2025-12-03 16:32:20,Phishing,High,Misconfiguration,Open,Synthetic incident description #35
INC-1036,2025-05-01 02:55:54,Insider Threat,Low,Phishing,Open,Synthetic incident description #36
INC-1037,2025-08-15 06:45:28,Insider Threat,Critical,DDoS,Resolved,Synthetic incident description #37
INC-1038,2025-05-07 11:31:34,Insider Threat,Medium,Malware,Closed,Synthetic incident description #38
INC-1039,2025-02-10 07:58:04,Misconfiguration,High,Malware,Closed,Synthetic incident description #39
INC-1040,2025-04-18 03:17:03,Insider Threat,Critical,Malware,Closed,Synthetic incident description #40
INC-1041,2025-08-30 23:22:10,Misconfiguration,Medium,Insider Threat,Closed,Synthetic incident description #41
INC-1042,2025-05-05 17:33:16,Misconfiguration,Low,DDoS,Resolved,Synthetic incident description #42
INC-1043,2025-09-26 23:19:27,Misconfiguration,Low,Misconfiguration,Resolved,Synthetic incident description #43
INC-1044,2025-06-28 19:43:16,DDoS,Low,Misconfiguration,In Progress,Synthetic incident description #44
INC-1045,2025-08-12 15:17:58,Phishing,High,Phishing,Open,Synthetic incident description #45
INC-1046,2025-09-05 02:16:13,DDoS,Low,Malware,Resolved,Synthetic incident description #46
INC-1047,2025-04-07 18:43:04,DDoS,Critical,Phishing,Closed,Synthetic incident description #47
