dataset_id,name,rows,columns,uploaded_by,upload_date
DS-1000,Dataset_0,790488,32,analyst1,2024-03-02
DS-1001,Dataset_1,294539,22,data_scientist,2025-08-21
DS-1002,Dataset_2,886777,23,data_scientist,2024-05-06
DS-1003,Dataset_3,417080,42,cyber_admin,2025-08-03
DS-1004,Dataset_4,655737,16,cyber_admin,2024-10-26
DS-1005,Dataset_5,66573,26,analyst1,2024-10-02
DS-1006,Dataset_6,202880,22,analyst1,2025-06-24
DS-1007,Dataset_7,991692,13,data_scientist,2025-05-27
DS-1008,Dataset_8,892629,46,analyst1,2025-05-02
DS-1009,Dataset_9,864829,10,analyst1,2025-01-16
DS-1010,Dataset_10,528191,14,cyber_admin,2024-07-04
DS-1011,Dataset_11,328277,19,data_scientist,2025-10-25
DS-1012,Dataset_12,986855,13,analyst1,2024-01-25
DS-1013,Dataset_13,306488,18,it_admin,2024-10-18
DS-1014,Dataset_14,930898,46,analyst2,2025-07-02
DS-1015,Dataset_15,70702,31,cyber_admin,2025-03-11
DS-1016,Dataset_16,780503,32,analyst1,2024-02-09
DS-1017,Dataset_17,919335,19,it_admin,2025-11-11
DS-1018,Dataset_18,157174,41,analyst1,2024-04-27
DS-1019,Dataset_19,285917,33,data_scientist,2024-03-19
DS-1020,Dataset_20,792043,7,data_scientist,2025-05-22
DS-1021,Dataset_21,113710,11,data_scientist,2025-06-21
DS-1022,Dataset_22,49196,36,analyst1,2024-02-08
DS-1023,Dataset_23,29680,21,it_admin,2024-07-10
DS-1024,Dataset_24,670224,23,analyst2,2025-12-14
DS-1025,Dataset_25,983364,45,analyst2,2024-07-17
DS-1026,Dataset_26,67616,6,analyst2,2025-08-16
DS-1027,Dataset_27,959949,42,analyst2,2024-12-13
DS-1028,Dataset_28,68862,47,it_admin,2025-09-07
DS-1029,Dataset_29,974724,36,data_scientist,2025-07-13
DS-1030,Dataset_30,402252,28,analyst2,2025-09-16
DS-1031,Dataset_31,49373,22,analyst1,2025-10-20
DS-1032,Dataset_32,261148,12,analyst2,2024-05-18
DS-1033,Dataset_33,732710,18,it_admin,2025-12-11
DS-1034,Dataset_34,208147,48,data_scientist,2024-01-21
DS-1035,Dataset_35,302495,23,it_admin,2024-06-19
DS-1036,Dataset_36,759314,21,data_scientist,2025-07-22
DS-1037,Dataset_37,625415,44,cyber_admin,2024-06-24
DS-1038,Dataset_38,191133,22,analyst1,2025-11-20
DS-1039,Dataset_39,424495,44,analyst2,2025-10-30
DS-1040,Dataset_40,875632,28,analyst1,2025-12-10
DS-1041,Dataset_41,555304,14,cyber_admin,2025-11-29
DS-1042,Dataset_42,857570,35,analyst2,2025-07-13
DS-1043,Dataset_43,192805,22,cyber_admin,2024-09-08
DS-1044,Dataset_44,942390,14,it_admin,2024-07-24
DS-1045,Dataset_45,289673,9,cyber_admin,2025-06-11
DS-1046,Dataset_46,965508,20,analyst1,2024-10-21
DS-1047,Dataset_47,976247,6,cyber_admin,2025-10-17
DS-1048,Dataset_48,914075,8,cyber_admin,2024-04-02
DS-1049,Dataset_49,891687,37,data_scientist,2025-04-05
DS-1050,Dataset_50,752575,49,analyst1,2024-09-20
DS-1051,Dataset_51,765552,28,data_scientist,2024-10-14
DS-1052,Dataset_52,779930,7,data_scientist,2025-10-28
DS-1053,Dataset_53,507451,7,data_scientist,2024-07-05
DS-1054,Dataset_54,493087,49,analyst1,2025-05-23
DS-1055,Dataset_55,267342,8,analyst1,2025-11-13
DS-1056,Dataset_56,764338,34,cyber_admin,2025-10-25
DS-1057,Dataset_57,318424,29,analyst2,2024-05-10
DS-1058,Dataset_58,25412,36,data_scientist,2025-10-17
DS-1059,Dataset_59,412713,12,analyst2,2024-09-29
DS-1060,Dataset_60,417305,26,analyst1,2025-04-25
DS-1061,Dataset_61,559283,6,analyst2,2025-03-11
DS-1062,Dataset_62,713490,42,it_admin,2025-07-11
DS-1063,Dataset_63,248589,40,it_admin,2025-08-16
DS-1064,Dataset_64,219344,42,data_scientist,2024-07-19
DS-1065,Dataset_65,166618,23,cyber_admin,2024-08-29
DS-1066,Dataset_66,992707,37,cyber_admin,2024-09-09
DS-1067,Dataset_67,174248,31,it_admin,2025-06-05
DS-1068,Dataset_68,681902,7,analyst1,2024-12-07
DS-1069,Dataset_69,111640,19,analyst2,2025-04-06
DS-1070,Dataset_70,721049,47,cyber_admin,2024-01-14
DS-1071,Dataset_71,679720,42,analyst2,2024-08-07
DS-1072,Dataset_72,681427,20,cyber_admin,2024-03-12
DS-1073,Dataset_73,235555,16,analyst2,2024-06-14
DS-1074,Dataset_74,633373,15,analyst1,2024-02-28
DS-1075,Dataset_75,397854,5,it_admin,2024-10-16
DS-1076,Dataset_76,291387,34,analyst2,2024-05-17
DS-1077,Dataset_77,831100,9,analyst2,2024-06-11
DS-1078,Dataset_78,218942,6,data_scientist,2025-08-30
DS-1079,Dataset_79,871852,14,it_admin,2025-07-10
DS-1080,Dataset_80,150729,18,it_admin,2025-03-11
DS-1081,Dataset_81,242291,5,data_scientist,2024-09-08
DS-1082,Dataset_82,660503,13,it_admin,2025-02-21
DS-1083,Dataset_83,610659,12,data_scientist,2025-08-24
DS-1084,Dataset_84,50147,7,analyst2,2025-08-03
DS-1085,Dataset_85,52764,48,analyst1,2025-05-20
DS-1086,Dataset_86,187806,26,analyst2,2025-03-07
DS-1087,Dataset_87,684508,33,cyber_admin,2025-07-30
DS-1088,Dataset_88,286357,44,it_admin,2025-01-04
DS-1089,Dataset_89,900764,22,it_admin,2025-11-04
DS-1090,Dataset_90,158815,7,it_admin,2024-01-21
DS-1091,Dataset_91,815547,38,data_scientist,2024-04-20
DS-1092,Dataset_92,447126,12,cyber_admin,2024-02-01
DS-1093,Dataset_93,515428,19,analyst1,2024-12-24
DS-1094,Dataset_94,215892,33,data_scientist,2025-08-18
DS-1095,Dataset_95,20607,14,it_admin,2024-08-16
DS-1096,Dataset_96,949505,32,it_admin,2024-02-26
DS-1097,Dataset_97,476638,13,data_scientist,2024-01-24
DS-1098,Dataset_98,62265,19,data_scientist,2024-02-18
DS-1099,Dataset_99,848024,21,analyst1,2025-10-31
DS-1100,Dataset_100,709736,25,cyber_admin,2024-12-24
DS-1101,Dataset_101,746628,45,data_scientist,2025-06-13
DS-1102,Dataset_102,487183,16,it_admin,2025-09-04
DS-1103,Dataset_103,926138,45,it_admin,2024-05-18
DS-1104,Dataset_104,703365,44,data_scientist,2024-06-13
DS-1105,Dataset_105,426723,21,cyber_admin,2025-09-09
DS-1106,Dataset_106,207752,48,analyst2,2024-06-07
DS-1107,Dataset_107,349694,50,data_scientist,2025-09-08
DS-1108,Dataset_108,120138,22,cyber_admin,2024-07-19
DS-1109,Dataset_109,840573,9,cyber_admin,2024-04-05
DS-1110,Dataset_110,767526,28,data_scientist,2024-10-25
DS-1111,Dataset_111,198125,40,cyber_admin,2025-04-12
DS-1112,Dataset_112,479104,19,data_scientist,2024-12-12
DS-1113,Dataset_113,148111,19,cyber_admin,2025-04-03
DS-1114,Dataset_114,327466,41,it_admin,2025-04-14
DS-1115,Dataset_115,702692,40,data_scientist,2024-02-08
DS-1116,Dataset_116,404412,37,cyber_admin,2024-12-09
DS-1117,Dataset_117,876671,6,it_admin,2025-03-29
DS-1118,Dataset_118,524387,22,analyst2,2025-08-10
DS-1119,Dataset_119,963391,25,data_scientist,2024-06-21
DS-1120,Dataset_120,303585,35,analyst2,2025-02-13
DS-1121,Dataset_121,879146,31,analyst1,2025-06-25
DS-1122,Dataset_122,195326,45,analyst2,2024-08-14
DS-1123,Dataset_123,180560,6,it_admin,2024-08-15
