ticket_id,priority,description,status,assigned_to,created_at,resolution_time_hours
TCK-2000,Critical,Synthetic IT ticket #0,Closed,analyst1,2025-03-15,20
TCK-2001,Low,Synthetic IT ticket #1,Assigned,it_admin,2025-05-24,94
TCK-2002,Critical,Synthetic IT ticket #2,Resolved,analyst1,2025-08-16,235
TCK-2003,Critical,Synthetic IT ticket #3,Open,analyst1,2025-04-11,158
TCK-2004,High,Synthetic IT ticket #4,Assigned,cyber_admin,2025-10-16,72
TCK-2005,Critical,Synthetic IT ticket #5,Resolved,cyber_admin,2025-12-02,91
TCK-2006,Critical,Synthetic IT ticket #6,In Progress,it_admin,2025-11-09,85
TCK-2007,High,Synthetic IT ticket #7,Assigned,cyber_admin,2025-08-31,198
TCK-2008,Critical,Synthetic IT ticket #8,Closed,data_scientist,2025-08-09,221
TCK-2009,Critical,Synthetic IT ticket #9,Open,cyber_admin,2025-08-12,189
TCK-2010,High,Synthetic IT ticket #10,Assigned,it_admin,2025-07-19,78
TCK-2011,High,Synthetic IT ticket #11,Assigned,data_scientist,2025-05-19,61
TCK-2012,High,Synthetic IT ticket #12,Assigned,data_scientist,2025-12-07,159
TCK-2013,High,Synthetic IT ticket #13,Closed,data_scientist,2025-02-19,139
TCK-2014,High,Synthetic IT ticket #14,In Progress,it_admin,2025-08-05,98
TCK-2015,Medium,Synthetic IT ticket #15,Assigned,it_admin,2025-07-21,145
TCK-2016,Critical,Synthetic IT ticket #16,Resolved,it_admin,2025-11-22,181
TCK-2017,Critical,Synthetic IT ticket #17,Closed,analyst2,2025-12-10,77
TCK-2018,Critical,Synthetic IT ticket #18,Assigned,data_scientist,2025-08-24,144
TCK-2019,High,Synthetic IT ticket #19,Closed,analyst1,2025-08-12,225
TCK-2020,Critical,Synthetic IT ticket #20,In Progress,it_admin,2025-05-23,85
TCK-2021,Medium,Synthetic IT ticket #21,Open,it_admin,2025-09-02,140
TCK-2022,High,Synthetic IT ticket #22,Closed,data_scientist,2025-09-20,138
TCK-2023,Low,Synthetic IT ticket #23,Resolved,cyber_admin,2025-03-19,129
TCK-2024,High,Synthetic IT ticket #24,Assigned,it_admin,2025-10-09,97
TCK-2025,Low,Synthetic IT ticket #25,Assigned,analyst1,2025-08-08,179
TCK-2026,Low,Synthetic IT ticket #26,Resolved,analyst1,2025-03-26,68
TCK-2027,Low,Synthetic IT ticket #27,Open,cyber_admin,2025-10-25,174
TCK-2028,High,Synthetic IT ticket #28,In Progress,it_admin,2025-03-10,93
TCK-2029,High,Synthetic IT ticket #29,Open,analyst2,2025-09-05,57
TCK-2030,Critical,Synthetic IT ticket #30,In Progress,analyst2,2025-08-27,26
TCK-2031,Critical,Synthetic IT ticket #31,Resolved,analyst2,2025-07-04,43
TCK-2032,Medium,Synthetic IT ticket #32,Open,analyst1,2025-11-26,158
TCK-2033,Medium,Synthetic IT ticket #33,Closed,cyber_admin,2025-07-08,127
TCK-2034,Low,Synthetic IT ticket #34,Resolved,it_admin,2025-06-15,144
TCK-2035,High,Synthetic IT ticket #35,Closed,data_scientist,2025-03-17,152
TCK-2036,High,Synthetic IT ticket #36,Resolved,analyst2,2025-10-07,232
TCK-2037,Medium,Synthetic IT ticket #37,In Progress,analyst1,2025-09-17,173
TCK-2038,Medium,Synthetic IT ticket #38,Resolved,data_scientist,2025-07-14,116
TCK-2039,Low,Synthetic IT ticket #39,Open,data_scientist,2025-05-03,181
TCK-2040,High,Synthetic IT ticket #40,Assigned,data_scientist,2025-10-03,120
TCK-2041,Low,Synthetic IT ticket #41,Closed,cyber_admin,2025-11-04,34
TCK-2042,Critical,Synthetic IT ticket #42,Assigned,cyber_admin,2025-03-08,136
TCK-2043,Low,Synthetic IT ticket #43,Closed,cyber_admin,2025-03-16,184
TCK-2044,High,Synthetic IT ticket #44,Assigned,analyst1,2025-04-04,182
TCK-2045,Medium,Synthetic IT ticket #45,Closed,cyber_admin,2025-03-07,239
TCK-2046,High,Synthetic IT ticket #46,Resolved,cyber_admin,2025-07-28,160
TCK-2047,Low,Synthetic IT ticket #47,Resolved,it_admin,2025-07-06,67
TCK-2048,Medium,Synthetic IT ticket #48,Open,it_admin,2025-11-22,181
TCK-2049,Medium,Synthetic IT ticket #49,Open,analyst1,2025-06-18,186
TCK-2050,Low,Synthetic IT ticket #50,In Progress,cyber_admin,2025-03-19,96
TCK-2051,Critical,Synthetic IT ticket #51,In Progress,cyber_admin,2025-04-27,201
TCK-2052,Medium,Synthetic IT ticket #52,Assigned,data_scientist,2025-02-21,90
TCK-2053,Critical,Synthetic IT ticket #53,In Progress,analyst1,2025-02-18,193
TCK-2054,Critical,Synthetic IT ticket #54,In Progress,analyst2,2025-07-23,208
TCK-2055,Medium,Synthetic IT ticket #55,Closed,it_admin,2025-04-13,48
TCK-2056,Medium,Synthetic IT ticket #56,Closed,analyst2,2025-06-03,125
TCK-2057,Medium,Synthetic IT ticket #57,Closed,analyst1,2025-02-17,98
TCK-2058,Critical,Synthetic IT ticket #58,Assigned,analyst1,2025-03-14,173
TCK-2059,Critical,Synthetic IT ticket #59,Assigned,data_scientist,2025-12-09,9
TCK-2060,Medium,Synthetic IT ticket #60,Open,analyst1,2025-08-01,40
TCK-2061,Medium,Synthetic IT ticket #61,Closed,cyber_admin,2025-06-10,180
TCK-2062,Critical,Synthetic IT ticket #62,Assigned,it_admin,2025-07-04,42
TCK-2063,High,Synthetic IT ticket #63,Resolved,cyber_admin,2025-06-28,28
TCK-2064,High,Synthetic IT ticket #64,Resolved,cyber_admin,2025-05-15,38
TCK-2065,Medium,Synthetic IT ticket #65,Assigned,analyst1,2025-07-27,219
TCK-2066,Medium,Synthetic IT ticket #66,Open,analyst2,2025-05-17,196
TCK-2067,Medium,Synthetic IT ticket #67,In Progress,analyst1,2025-06-11,117
TCK-2068,High,Synthetic IT ticket #68,Closed,data_scientist,2025-08-26,236
TCK-2069,Medium,Synthetic IT ticket #69,In Progress,analyst1,2025-02-22,35
TCK-2070,Medium,Synthetic IT ticket #70,In Progress,analyst2,2025-10-08,94
TCK-2071,Critical,Synthetic IT ticket #71,Open,data_scientist,2025-08-31,146
TCK-2072,Medium,Synthetic IT ticket #72,Assigned,cyber_admin,2025-04-21,50
TCK-2073,High,Synthetic IT ticket #73,Assigned,analyst2,2025-11-03,95
TCK-2074,Medium,Synthetic IT ticket #74,Closed,data_scientist,2025-08-14,112
TCK-2075,Critical,Synthetic IT ticket #75,In Progress,data_scientist,2025-07-29,136
TCK-2076,High,Synthetic IT ticket #76,In Progress,data_scientist,2025-06-19,81
TCK-2077,High,Synthetic IT ticket #77,In Progress,cyber_admin,2025-05-18,125
TCK-2078,Low,Synthetic IT ticket #78,Closed,cyber_admin,2025-02-20,176
TCK-2079,Low,Synthetic IT ticket #79,In Progress,data_scientist,2025-08-04,162
TCK-2080,Low,Synthetic IT ticket #80,Assigned,data_scientist,2025-06-02,26
TCK-2081,Critical,Synthetic IT ticket #81,In Progress,it_admin,2025-08-22,95
TCK-2082,Critical,Synthetic IT ticket #82,Assigned,data_scientist,2025-09-04,104
TCK-2083,Low,Synthetic IT ticket #83,Open,cyber_admin,2025-07-29,197
TCK-2084,Medium,Synthetic IT ticket #84,Closed,analyst2,2025-08-21,42
TCK-2085,High,Synthetic IT ticket #85,Assigned,analyst2,2025-02-28,5
TCK-2086,Medium,Synthetic IT ticket #86,Assigned,analyst2,2025-05-24,120
TCK-2087,Medium,Synthetic IT ticket #87,Open,analyst2,2025-10-30,206
TCK-2088,Low,Synthetic IT ticket #88,Resolved,it_admin,2025-12-04,150
TCK-2089,Critical,Synthetic IT ticket #89,In Progress,it_admin,2025-10-21,153
TCK-2090,Critical,Synthetic IT ticket #90,Closed,cyber_admin,2025-04-03,21
TCK-2091,Medium,Synthetic IT ticket #91,Open,analyst1,2025-09-02,19
TCK-2092,Medium,Synthetic IT ticket #92,Open,cyber_admin,2025-03-25,69
TCK-2093,High,Synthetic IT ticket #93,In Progress,data_scientist,2025-08-16,33
TCK-2094,Critical,Synthetic IT ticket #94,Open,analyst2,2025-12-03,115
TCK-2095,Medium,Synthetic IT ticket #95,Resolved,it_admin,2025-04-08,134
TCK-2096,High,Synthetic IT ticket #96,Open,data_scientist,2025-02-22,8
TCK-2097,High,Synthetic IT ticket #97,Closed,data_scientist,2025-02-26,52
